title	question	answer	annotated
Compact Binoculars,10x25 Pankoo Small Folding Portable Lightweight High Powered Binoculars with Weak Light Night Vision Clear&Bright for Outdoor Sports,BirdwatchingViewing	I know that every review says they're great for close-up viewing, but how about far distance?	for distance viewing, you can do much better.	1.5
Maxell Safe and Effective Feature CD Player and Game Station Compact Disc Cleaner CD-340 190048 CD/CD-ROM Laser Lens Cleaner	How do you know its working in there? I bought a lens cleaner from wal mart and it took it in, then said 'Check CD' and then was just blank...it came with no directions so I thought of getting a different one...that one I guess wasnt for a Car CD	how do you know it's working in there?	0.5
Gskyer Telescope,AZ70700 German Technology Telescope,Instruments Infinity Refractor	could I hook this up to my computer via a 3.5 mm to RCA converter?	Yes, that will work well	3.0
RCA WHP141B 900MHZ Wireless Stereo Headphones	I am having such a hard time just trying to get the battery cover open on my new set. I've been at it for an hour now and it won't budge. Is it supposed to be this difficult, or is this headset just defective?! Geez!!	it's supposed to be this difficult, or is it just defective?	1.0
Davis & Sanford Provista 7518 Tripod with FM18 Head	i am having a issue when i attach my dslr (canon t3i) to the release and putting it into the fuild head. I cannot tighten the nod on the right ?	the thumb screw will bump against your DSLR	1.5
Bayco KW-130 Cord Storage Reel with Center Spin Handle, 150-Feet	Could this be used to store a 25' or 50' garden hose? It would really make storing my hose in my RV much easier if it is strong enough or large enough.	it would be much easier if it is strong enough or large enough.	1.0
Kodak Zi6 Pocket Video Black Camera	"When I put in a new 32 gb sd card, I get a ""!"" in a triangle over the sd icon. Why won't it recognize it? Help!! !"	it won't recognize it	1.0
Celestron SkyMaster Giant 15x70 Binoculars with Tripod Adapter	how does the tripod adpater hook on? I got it today but im confused how that part hooks on? and then to the tripod.	the tripod adapter hooks on first to the tripod mount, then to the tripod.	2.5
Raynox DCR-250 Super Macro Snap-On Lens	I installed it on my nikon 55-300 but I can hardly see anything with this thing on it, what am I doing wrong ?	I installed it on my nikon 55-300 and it is hardly seeing anything.	1.0
Canon PowerShot SD750 7.1MP Digital Elph Camera with 3x Optical Zoom (Silver) (OLD MODEL)	SD750 VS. SD1000 I've done extensive research on both cameras for many months now, and I still can't decide on which to buy. I seriously need to upgrade from my SD300 which has suffered too much accidental abuse from me.The SD750 looks more appealing and the bigger LCD definitely attracts	I really need to upgrade from my SD300 which has suffered too much accidental abuse from me.	1.0
Cmple - Folding LCD Ceiling/Cabinet Mount for 17”- 37” TV/Monitor	do you think by the quality of design that this tv mount is able to support onkly 6 lbs more than the advertised max load..?	Food would just dry out and get hard. They are made to keep water from freezing	0.0
Terk Leapfrog Remote Control Extender Kit LFIRX	How long are the antenna's and do they have to be fully up? I can't have a huge antenna sticking up, it looks bad.	they are long and shoot straight through the wall.	1.3333333333333333
Actiontec SBWD100A01 / SBWD100B ScreenBeam Pro Wireless Display Receiver for WiDi Laptops/ Miracast Devices	Anyone tried this with a Moto X or Surface 2? Thanks	Just 1 bag. I think it's 3 bones but it might be a couple more. Bones are pricey.	0.0
Entry Defense Alarm	Is there any installation. I am looking for a hand held devise, as I open the door.	a hand held recorder	0.3333333333333333
Interlogix Learn Mode Micro Door/Window Detector, White	How do you replace the battery in one of these and what kind of battery does it take?	it takes a different battery than the one we received from the alarm company.	1.0
B+W 65-073102 77mm Neutral Density 0.9-8x Filter #103	what is the benfit to use this filter	it is a professional implement designed for decades of demanding use.	2.0
DigiPower DPS-3000+ 3-Hour AA/AAA Rechargeable Battery Kit with 4 AA 2700 mAh Batteries and Car Charger	What`s the range of input voltages it accptes？	120V AC input, 12V 500mA DC output	2.6666666666666665
Midland 75-822 40 Channel CB-Way Radio	So with the adapter, you can plug the radio into something and it will use your car antenna or some other antenna and get further range? How far?	it isn't very far	1.0
"JBL Sub 550P High-Performance 10"" Powered Subwoofer Sealed Enclosure with Built-in 300-Watt RMS Amplifier"	can this subwoofer be used outdoors in a large patio. the rain and wind will not come in contact with the sub. I have built a roughly 2,000 Sq. Ft.	it is very heavy and may look large.	1.0
"VideoSecu Swing Arm TV Wall Mount for Vizio 19 22 24 26 inch E191VA M190MV E220VA M221NV E221-A1 E241i-A1 E240AR E260MV E261VA M260VA HDTV, TV Mount Bracket Max. 14"" Pullout 1F6"	Could this mount be used in a small RV? Would it end up swinging all over the place during travel, or is the swing arm pretty snug?	it would end up swinging all over the place during travel.	2.0
Flexpod Flexible Tripod (Discontinued by Manufacturer)	how much weight will this bear. i have a small spotting scope.	it won't hold much weight.	1.6666666666666667
Apple iMac MB417LL/A 20-Inch Desktop (2.66GHz Intel Core 2 Duo, 2 GB RAM, 320GB Serial ATA, Mac OS X)	I have never had an Apple computer.Is it easy to learn how to use it?	Keeps my 5 gallon 78 to 79 degrees.	0.0
Memorex MB1055 Full Size Cassette Recorder	How would this work for recording a class?	it would work when plugged into electricity.	1.0
Garmin 72H Waterproof Handheld GPS with High-Sensitivity	Can this unit track distance traveled?	You can track all distances traveled. Reset to zero is simple. You can track waypoint to waypoint.	2.5
Solo Reade 15.6 Inch Vintage Columbian Leather Backpack, Espresso	How waterproof is this bag?	it is not waterproof	3.0
VidPro Gripster Flexible Compact Camera Tripod	Should the thin rubber pad around the screw be removed or should it stay in place? It bunches up when I screw the tripod to the base of the camera.	the pad around the screw is removed.	1.0
"MSI Wind 10"" Mini Laptop (1.6 GHz Intel Atom Processor, 1 GB RAM, 80 GB Hard Drive, XP Home, 3 Cell Battery) Black"	Why did the price change from $479.99 to $499.99? I thought for 3-cell, MSI advertised it as $479.99? Why is it listed now as $499.99? Last week, it used to be $479.99.	because it was advertised as $479.99 for 3-cells.	1.5
Orion 10014 SkyQuest XT4.5 Classic Dobsonian Telescope	What kind of maintenance does this telescope need?	it needs to be sat on a stool or put it up on a platform	1.0
Radio Shack, Remote Control A/B Switch for 75 ohm Coax.	What are the dimensions of the base unit?	the base unit is the perfect width to fit in a computer drive bay.	1.3333333333333333
Canon EF 50mm f/1.8 II Standard AutoFocus Fixed Lens - White Box(Bulk Packaging)	"How does ""Canon EF 50mm f/1.8 II Standard AutoFocus Lens"" differ from ""Canon EF 50mm f/1.8 II Camera Lens?"""	it is a cheaper lens	2.0
Gigabyte P35K-CF1 15.6-Inch Laptop	Is the keyboard backlit?	It's a white back light	3.0
BIC America Venturi DV64 2-Way Tower Speaker, Black (Single)	Does anyone have any listening experience with the DV-64 and the PL-76 or FT-6T? How do they compare with music and movies?	they are very similar	1.6666666666666667
Onkyo TX-SR806 7.1 Channel Home Theater Receiver (Silver) (Discontinued by Manufacturer)	Rediculous Price fluctuation Seriously - 3-4-09 - 3-31, Prices go from 618 to 640 to 612, and then in a day shoot up to 999 (full MSRP) if purchased from Amazon. I almost pulled the trigger at $612, but saw some reviews complaining about heat issues, poor customer service, and	rediculous price fluctuation Seriously - 3-4-09 - 3-31, Prices go	0.6666666666666666
